Country Code,Country,Year,Preterm,Pertussis,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other,Total
AFG,Afghanistan,2015,14.6,1.2,11.0,7.0,0.8,4.9,19.8,12.4,0.0,0.0,1.0,7.3,2.5,17.3,100
ALB,Albania,2015,20.8,0.7,7.5,2.7,0.4,27.5,11.9,1.2,0.0,0.3,0.0,8.7,1.9,16.3,100
DZA,Algeria,2015,21.9,0.8,13.7,8.8,0.2,16.3,12.9,5.0,0.0,0.1,0.1,6.2,0.8,13.2,100
AND,Andorra,2015,24.3,0.0,7.4,2.9,0.0,36.0,2.7,0.1,0.0,0.0,0.0,6.1,0.8,19.6,100
AGO,Angola,2015,12.5,0.5,10.8,5.0,1.2,5.8,17.4,14.7,6.3,1.2,0.3,5.3,1.4,17.5,100
ATG,Antigua & Barbuda,2015,26.5,0.0,14.2,0.0,0.0,21.6,3.2,0.0,0.0,2.6,0.0,4.5,0.0,27.5,100
ARG,Argentina,2015,25.7,0.6,3.9,4.9,0.0,28.1,7.4,1.3,0.0,0.1,0.0,7.8,1.3,18.8,100
ARM,Armenia,2015,23.4,0.6,8.5,3.5,0.0,26.4,10.7,1.3,0.0,0.2,0.0,8.5,1.7,15.2,100
AUS,Australia,2015,19.7,0.1,10.4,1.2,0.0,28.0,2.7,0.3,0.1,0.0,0.0,7.7,0.9,29.0,100
AUT,Austria,2015,23.5,0.0,6.5,1.6,0.0,33.6,1.5,0.4,0.0,0.1,0.0,4.9,1.8,26.0,100
AZE,Azerbaijan,2015,24.3,0.5,13.6,6.9,0.2,14.1,12.2,5.9,0.0,0.1,0.0,6.2,0.6,15.2,100
BHS,Bahamas,2015,28.2,0.0,8.3,3.9,0.0,11.7,13.0,0.6,0.0,0.9,0.0,9.9,0.6,22.8,100
BHR,Bahrain,2015,21.9,0.0,2.9,0.6,0.0,36.1,2.3,0.4,0.0,0.4,0.0,5.6,1.2,28.6,100
BGD,Bangladesh,2015,19.8,0.4,14.9,12.4,0.3,9.3,14.5,6.0,0.2,0.0,1.9,6.0,1.5,12.6,100
BRB,Barbados,2015,19.1,0.0,12.7,13.1,0.0,18.8,2.6,0.0,0.0,0.0,0.0,6.6,0.0,27.1,100
BLR,Belarus,2015,20.7,1.4,7.1,2.4,0.0,35.4,6.1,0.6,0.0,0.1,0.0,8.1,1.3,16.8,100
BEL,Belgium,2015,16.3,0.3,9.1,2.0,0.0,29.4,1.6,0.1,0.0,0.0,0.0,9.7,1.6,29.7,100
BLZ,Belize,2015,17.3,0.0,8.0,7.6,0.0,23.9,8.3,3.1,0.0,1.2,0.0,7.0,1.5,22.1,100
BEN,Benin,2015,12.9,1.0,9.4,7.0,0.2,5.1,15.4,10.8,11.6,1.1,0.7,5.7,2.4,16.8,100
BTN,Bhutan,2015,21.9,0.4,12.0,9.0,0.2,11.1,14.6,6.2,0.0,1.6,0.0,7.5,1.2,14.5,100
BOL,Bolivia,2015,18.7,2.9,14.5,6.5,0.3,14.6,13.9,6.1,0.0,0.3,0.0,7.5,1.0,13.8,100
BIH,Bosnia & Herzegovina,2015,31.4,0.6,9.8,4.9,0.0,32.5,5.1,0.4,0.0,0.1,0.8,2.9,0.5,11.1,100
BWA,Botswana,2015,21.6,0.3,12.2,7.0,0.2,11.1,12.4,6.3,0.0,5.1,0.7,6.4,0.6,16.2,100
BRA,Brazil,2015,18.9,0.2,9.3,7.8,0.0,22.1,9.1,2.5,0.0,0.2,0.0,6.1,1.2,22.6,100
BRN,Brunei,2015,18.1,0.0,8.7,8.0,0.0,25.2,3.7,2.3,0.0,0.0,0.0,2.8,0.3,31.1,100
BGR,Bulgaria,2015,25.5,0.0,9.8,2.5,0.0,25.0,17.0,1.1,0.0,0.0,0.4,5.2,1.8,11.8,100
BFA,Burkina Faso,2015,11.2,1.0,9.0,6.8,0.2,4.3,12.8,8.2,21.4,0.6,2.3,5.8,2.0,14.4,100
BDI,Burundi,2015,12.9,1.1,12.0,6.0,0.3,5.6,16.0,10.1,6.5,0.9,0.1,7.9,1.8,18.9,100
KHM,Cambodia,2015,16.4,2.9,13.0,8.7,0.2,10.7,16.5,6.7,0.3,0.5,0.0,8.1,1.8,14.3,100
CMR,Cameroon,2015,10.4,1.1,10.8,5.3,0.3,6.2,15.5,11.3,9.9,4.0,0.2,6.9,1.8,16.4,100
CAN,Canada,2015,27.1,0.2,9.2,3.2,0.0,31.4,2.1,0.3,0.0,0.0,0.0,6.7,1.0,18.8,100
CPV,Cape Verde,2015,20.9,0.7,8.5,4.5,0.4,20.9,13.7,5.3,0.0,0.7,0.0,4.8,1.3,18.5,100
CAF,Central African Republic,2015,10.8,0.9,11.9,5.1,1.3,4.0,16.0,10.4,15.3,3.4,0.9,4.4,3.5,12.1,100
TCD,Chad,2015,10.1,0.9,10.4,4.6,1.2,4.2,23.3,13.7,6.0,2.1,0.2,5.6,5.0,12.7,100
CHL,Chile,2015,26.5,0.5,4.2,2.7,0.0,39.9,3.5,0.1,0.0,0.1,0.0,6.5,0.9,15.1,100
CHN,China,2015,18.3,0.8,14.3,2.9,0.1,17.9,12.1,2.8,0.0,0.2,0.3,16.6,1.4,12.4,100
COL,Colombia,2015,21.0,0.3,5.7,7.2,0.0,24.8,10.2,2.1,0.1,0.2,0.0,6.7,1.2,20.4,100
COM,Comoros,2015,19.3,1.5,12.2,7.1,0.5,6.3,15.8,7.5,7.9,1.1,0.0,5.1,2.1,13.6,100
COG,Congo,2015,15.6,2.0,11.2,5.9,0.2,9.6,13.4,7.1,5.6,6.3,0.7,6.8,1.0,14.6,100
COD,Congo DR,2015,12.6,1.0,9.9,5.0,0.4,4.8,15.2,10.5,11.9,1.1,3.1,5.7,2.6,16.3,100
COK,Cook Islands,2015,28.2,0.0,11.2,3.8,0.0,29.0,4.8,0.7,0.0,0.0,0.0,5.5,0.8,16.0,100
CRI,Costa Rica,2015,27.7,0.1,7.6,1.4,0.0,38.8,5.0,1.0,0.0,0.0,0.0,3.8,1.0,13.6,100
CIV,Cote d Ivoire,2015,14.5,0.9,12.2,8.4,0.6,4.7,14.5,7.6,16.7,2.1,0.2,4.3,2.1,11.1,100
HRV,Croatia,2015,15.6,0.0,7.2,3.4,0.0,27.3,2.7,0.0,0.0,0.0,0.0,4.5,2.5,36.9,100
CUB,Cuba,2015,16.8,0.0,7.7,4.6,0.0,23.5,11.2,1.3,0.0,0.1,0.0,8.5,2.9,23.4,100
CYP,Cyprus,2015,24.8,1.2,8.4,3.3,0.0,35.8,2.6,0.2,0.0,0.1,0.0,5.0,0.7,17.9,100
CZE,Czech Republic,2015,25.9,0.0,10.1,4.6,0.0,22.6,6.0,1.0,0.0,0.0,0.0,8.3,1.5,20.0,100
DNK,Denmark,2015,38.4,0.0,8.3,1.4,0.0,24.7,1.2,0.6,0.0,0.0,0.0,4.1,0.9,20.5,100
DJI,Djibouti,2015,19.8,0.3,13.9,7.1,0.6,7.7,12.9,8.1,0.3,3.2,3.5,5.8,1.1,15.6,100
DMA,Dominica,2015,13.9,0.0,16.8,18.9,0.0,22.6,3.9,1.4,0.0,0.0,0.0,7.0,0.0,15.4,100
DOM,Dominican Republic,2015,27.0,0.6,15.3,9.0,0.0,16.8,10.4,3.4,0.0,0.9,0.0,6.2,0.6,9.7,100
ECU,Ecuador,2015,21.3,0.7,7.4,5.4,0.6,21.7,12.2,4.1,0.0,0.0,0.0,8.0,1.5,17.0,100
EGY,Egypt,2015,24.0,0.6,10.7,2.9,0.9,21.1,12.7,5.0,0.0,0.0,0.2,5.7,0.5,15.8,100
SLV,El Salvador,2015,20.5,1.3,8.0,4.0,0.6,23.1,12.2,5.4,0.0,1.3,0.0,6.1,1.3,16.2,100
GNQ,Equatorial Guinea,2015,13.1,1.3,11.3,4.4,0.5,6.1,15.8,7.5,8.6,4.5,9.2,4.5,1.1,12.0,100
ERI,Eritrea,2015,10.6,2.6,12.6,8.4,0.2,7.8,20.0,8.9,0.6,0.9,1.7,8.7,3.3,13.7,100
EST,Estonia,2015,10.8,0.0,12.4,8.3,0.0,28.0,5.6,0.5,0.0,0.0,0.0,16.4,2.1,15.8,100
ETH,Ethiopia,2015,12.5,1.8,15.7,8.8,0.9,8.0,17.1,8.4,1.2,1.1,3.7,7.3,2.6,11.0,100
FSM,Federated States of Micronesia,2015,19.5,0.0,13.8,7.0,0.2,12.4,14.6,6.2,0.0,0.0,0.0,7.0,1.4,17.8,100
FJI,Fiji,2015,18.3,0.7,7.0,4.5,0.2,20.1,12.2,4.0,0.0,0.1,0.0,12.6,2.1,18.2,100
FIN,Finland,2015,20.0,0.0,9.0,2.8,0.0,31.9,2.6,0.0,0.0,0.0,0.0,7.6,0.7,25.4,100
FRA,France,2015,17.6,0.0,10.1,3.0,0.0,26.8,1.8,1.2,0.0,0.1,0.0,7.3,1.6,30.5,100
GAB,Gabon,2015,17.6,1.9,12.5,6.8,0.3,9.7,13.8,6.2,6.0,5.4,2.7,5.0,0.9,11.1,100
GMB,Gambia The,2015,14.9,1.2,13.9,9.1,0.4,7.6,13.8,8.8,3.5,2.5,0.2,6.9,1.5,15.6,100
GEO,Georgia,2015,26.6,0.7,9.2,5.4,0.0,27.2,8.1,0.9,0.0,0.2,0.0,7.0,1.2,13.5,100
DEU,Germany,2015,28.0,0.0,6.8,2.1,0.0,31.2,1.9,0.4,0.0,0.0,0.0,5.2,0.8,23.6,100
GHA,Ghana,2015,15.3,1.4,14.4,8.9,0.4,8.2,11.9,6.8,11.5,1.2,0.2,5.9,1.1,12.8,100
GRC,Greece,2015,34.0,0.0,5.4,0.5,0.0,43.6,3.3,0.0,0.0,0.0,0.0,4.0,0.4,8.8,100
GRD,Grenada,2015,21.3,0.0,11.4,3.2,0.0,21.9,6.5,2.4,0.0,0.0,0.0,8.6,0.0,24.7,100
GTM,Guatemala,2015,14.0,0.7,12.8,7.9,0.0,12.1,16.7,7.2,0.0,1.4,0.0,9.4,1.4,16.5,100
GIN,Guinea,2015,10.1,1.1,11.8,7.2,0.4,4.6,16.7,8.3,20.2,0.5,0.4,4.7,2.8,11.2,100
GNB,Guinea-Bissau,2015,12.9,0.9,14.8,9.0,0.8,5.9,17.5,9.5,4.0,3.5,0.5,5.4,2.6,12.5,100
GUY,Guyana,2015,19.7,0.0,13.1,9.2,0.0,11.9,6.9,5.3,6.2,0.8,0.0,7.1,1.4,18.4,100
HTI,Haiti,2015,13.2,1.7,11.2,6.8,0.3,7.0,22.5,10.4,0.2,0.7,0.0,7.6,3.5,14.8,100
HND,Honduras,2015,19.5,1.1,7.7,7.8,0.6,18.9,11.2,7.8,0.0,1.6,0.0,3.6,1.0,19.1,100
HUN,Hungary,2015,38.8,0.0,7.1,2.2,0.0,24.9,5.1,0.6,0.0,0.0,0.0,4.4,1.4,15.5,100
ISL,Iceland,2015,28.8,0.0,4.5,7.3,0.0,14.5,0.0,0.0,0.0,0.0,0.0,2.1,0.0,42.7,100
IND,India,2015,27.5,0.4,11.5,7.9,0.5,9.0,14.9,9.8,0.6,0.3,1.9,3.7,1.8,10.4,100
IDN,Indonesia,2015,18.9,0.7,12.0,6.5,0.2,10.8,17.0,5.8,1.4,1.2,3.0,6.8,1.7,13.9,100
IRN,Iran,2015,22.4,1.2,12.3,8.1,0.1,17.3,14.7,4.2,0.0,0.2,0.0,6.1,1.2,11.9,100
IRQ,Iraq,2015,21.6,0.6,14.2,7.1,0.3,14.1,15.2,5.5,0.0,0.0,0.1,6.8,1.0,13.4,100
IRL,Ireland,2015,24.7,0.0,6.6,2.3,0.0,43.1,2.0,0.3,0.0,0.0,0.0,3.9,1.8,15.3,100
ISR,Israel,2015,21.5,0.0,3.9,2.7,0.0,35.7,1.8,0.5,0.0,0.0,0.0,6.6,1.2,26.1,100
ITA,Italy,2015,26.2,0.0,7.5,3.4,0.0,26.9,1.5,0.2,0.0,0.0,0.0,3.4,0.6,30.2,100
JAM,Jamaica,2015,28.4,1.2,9.9,7.5,0.0,22.8,6.5,1.7,0.0,2.9,0.0,4.8,0.6,13.5,100
JPN,Japan,2015,8.4,0.0,4.8,1.8,0.0,39.0,6.5,1.9,0.0,0.0,0.0,11.5,0.5,25.4,100
JOR,Jordan,2015,28.4,1.0,8.2,4.6,0.3,22.7,8.9,2.6,0.0,0.0,0.0,8.8,0.6,13.9,100
KAZ,Kazakhstan,2015,17.3,0.9,12.3,5.6,0.1,19.4,13.1,5.8,0.0,0.1,0.0,8.3,0.7,16.2,100
KEN,Kenya,2015,13.0,1.9,15.3,7.2,0.4,9.1,14.1,7.3,5.1,5.6,0.3,6.9,1.6,12.0,100
KIR,Kiribati,2015,14.9,0.0,13.0,6.0,0.2,10.1,16.7,9.5,0.0,0.0,0.0,7.4,1.8,20.3,100
PRK,Korea DPR,2015,21.9,0.3,11.8,6.5,0.1,12.8,14.9,6.1,0.0,0.0,0.0,7.2,2.0,16.3,100
KOR,Korea Rep,2015,33.0,0.0,5.8,3.1,0.0,21.9,2.5,0.6,0.0,0.0,0.0,10.3,1.5,21.3,100
KWT,Kuwait,2015,27.9,0.0,2.0,0.4,0.0,37.7,9.3,0.4,0.0,0.0,0.0,6.8,1.3,14.2,100
KGZ,Kyrgyzstan,2015,17.9,0.7,13.6,6.7,0.1,18.1,14.0,5.1,0.0,0.7,0.0,8.3,1.4,13.4,100
LAO,Lao PDR,2015,13.8,1.7,14.3,7.9,0.6,6.8,17.3,11.2,0.4,0.4,0.2,8.3,1.4,15.7,100
LVA,Latvia,2015,14.7,0.3,29.2,6.8,0.0,25.8,4.1,0.2,0.0,0.0,0.0,7.2,0.7,11.0,100
LBN,Lebanon,2015,27.4,0.9,9.5,3.7,0.0,27.0,5.6,2.1,0.0,0.1,0.9,6.0,0.4,16.5,100
LSO,Lesotho,2015,14.5,1.0,11.7,5.4,0.5,6.1,17.2,9.7,0.0,10.4,0.4,5.8,1.8,15.4,100
LBR,Liberia,2015,11.6,1.4,10.7,7.6,0.2,5.9,16.5,8.9,12.5,1.2,0.7,6.1,3.0,13.7,100
LBY,Libya,2015,21.5,1.1,8.3,3.4,0.0,26.7,7.5,1.9,0.0,0.0,0.0,10.6,0.7,18.3,100
LTU,Lithuania,2015,16.5,0.3,7.5,7.9,0.0,31.8,5.8,0.2,0.0,0.0,0.0,11.8,3.5,14.6,100
LUX,Luxembourg,2015,25.1,0.0,4.8,1.6,0.0,19.6,0.0,0.0,0.0,0.0,0.0,9.5,2.0,37.4,100
MKD,Macedonia,2015,46.3,0.0,6.5,3.2,0.0,19.0,5.9,1.4,0.0,0.0,0.0,2.4,2.6,12.6,100
MDG,Madagascar,2015,12.8,1.9,12.7,6.9,0.3,7.7,17.3,9.1,4.5,0.7,0.3,8.4,2.1,15.3,100
MWI,Malawi,2015,13.2,1.3,10.3,6.4,0.2,7.2,13.5,7.6,6.9,7.6,1.1,6.8,1.6,16.4,100
MYS,Malaysia,2015,24.0,2.4,9.0,3.3,1.4,28.9,4.9,1.4,0.1,0.3,0.0,6.2,1.1,17.1,100
MDV,Maldives,2015,24.4,1.3,8.8,3.8,0.3,29.8,7.3,1.8,0.0,0.1,0.0,4.9,0.8,16.8,100
MLI,Mali,2015,11.1,0.8,10.5,7.3,0.5,3.8,13.0,9.4,23.5,1.4,0.6,4.6,2.0,11.4,100
MLT,Malta,2015,25.8,0.0,3.0,1.0,0.0,44.4,2.2,0.0,0.0,0.0,0.0,1.9,4.4,17.3,100
MHL,Marshall Islands,2015,19.3,0.0,11.3,6.5,0.2,11.9,16.6,7.2,0.0,0.0,0.0,7.3,1.7,18.1,100
MRT,Mauritania,2015,19.4,1.2,9.8,8.6,0.5,5.3,14.6,10.7,3.8,1.1,1.4,6.2,1.5,15.9,100
MUS,Mauritius,2015,26.6,0.0,5.4,6.6,0.0,25.0,10.8,2.3,0.0,0.0,0.0,4.7,0.6,17.8,100
MEX,Mexico,2015,20.1,0.2,7.4,8.0,0.0,25.4,11.1,2.9,0.0,0.2,0.0,7.6,0.8,16.3,100
MDA,Moldova,2015,18.9,0.0,9.6,7.5,0.0,31.5,15.7,0.6,0.0,0.1,0.0,6.7,1.2,8.2,100
MCO,Monaco,2015,21.8,0.0,7.3,2.7,0.0,31.8,1.7,0.0,0.0,0.0,0.0,10.0,0.9,23.8,100
MNG,Mongolia,2015,17.9,0.7,12.6,6.0,0.1,16.7,14.9,6.2,0.0,0.0,0.0,7.9,1.1,15.8,100
MNE,Montenegro,2015,30.6,0.0,36.2,2.2,0.0,7.5,3.9,0.0,0.0,0.0,0.0,2.0,1.1,16.4,100
MAR,Morocco,2015,23.2,0.6,14.4,10.7,0.2,13.4,11.4,4.6,0.0,0.1,0.0,6.6,0.6,14.1,100
MOZ,Mozambique,2015,12.2,1.1,10.8,7.3,0.3,5.5,14.3,8.9,13.1,5.0,0.3,5.8,1.8,13.6,100
MMR,Myanmar,2015,19.8,0.4,14.2,7.0,0.4,8.0,16.2,7.1,1.1,0.6,1.9,6.8,1.9,14.6,100
NAM,Namibia,2015,16.0,2.0,9.3,5.0,0.1,8.1,18.6,9.0,0.3,4.7,0.4,7.9,1.6,17.0,100
NRU,Nauru,2015,22.0,0.0,14.2,8.0,0.3,12.5,14.0,6.2,0.0,0.0,0.0,6.0,1.1,15.6,100
NPL,Nepal,2015,20.0,2.6,15.3,11.3,0.4,9.8,14.8,5.9,0.0,0.3,1.0,6.2,1.6,10.7,100
NLD,Netherlands,2015,23.5,0.1,10.0,5.6,0.0,30.5,1.9,0.4,0.0,0.0,0.0,4.2,1.0,22.8,100
NZL,New Zealand,2015,25.4,0.0,7.6,3.0,0.0,25.7,6.4,0.8,0.0,0.0,0.0,14.7,1.8,14.6,100
NIC,Nicaragua,2015,17.8,0.8,7.7,3.9,0.8,20.4,16.2,8.1,0.0,0.3,0.0,5.5,1.5,17.1,100
NER,Niger,2015,10.7,1.0,9.2,5.9,0.3,4.0,20.8,11.2,10.5,0.5,0.2,6.7,4.9,14.1,100
NGA,Nigeria,2015,11.7,1.2,10.9,5.2,0.8,4.5,17.8,10.3,13.6,3.5,1.2,5.1,2.5,11.8,100
NIU,Niue,2015,3.4,0.0,1.8,0.0,0.0,20.5,15.8,2.3,0.0,0.0,0.0,23.3,3.4,29.5,100
NOR,Norway,2015,18.5,0.0,10.2,1.9,0.0,31.7,2.0,0.2,0.0,0.0,0.0,3.4,1.2,30.8,100
OMN,Oman,2015,22.0,1.6,8.0,2.5,0.0,27.2,6.5,1.3,0.0,0.2,0.0,8.9,0.7,21.1,100
PAK,Pakistan,2015,23.6,1.2,12.9,9.8,1.5,5.1,14.8,9.1,0.1,0.1,0.7,6.7,1.2,13.3,100
PLW,Palau,2015,26.4,0.0,8.0,5.9,0.0,23.0,7.5,1.2,0.0,0.0,0.0,13.5,1.4,13.1,100
PAN,Panama,2015,18.5,0.1,8.2,8.0,0.0,25.8,13.3,5.2,0.0,0.2,0.0,3.7,1.2,15.8,100
PNG,Papua New Guinea,2015,14.9,1.5,12.7,6.5,0.5,7.1,16.2,6.8,11.8,1.1,0.5,5.8,2.1,12.4,100
PRY,Paraguay,2015,23.2,5.3,7.9,5.8,0.3,20.8,11.0,6.0,0.0,0.8,0.0,6.0,1.2,11.5,100
PER,Peru,2015,19.6,1.0,7.4,4.5,0.4,23.1,10.3,4.9,0.0,0.5,0.0,9.2,1.5,17.8,100
PHL,Philippines,2015,16.8,4.0,11.3,5.9,0.2,10.5,18.6,7.7,0.0,0.0,0.3,8.8,1.7,14.1,100
POL,Poland,2015,34.0,0.0,5.5,2.6,0.0,37.2,4.4,0.1,0.0,0.0,0.0,4.9,0.8,10.5,100
PRT,Portugal,2015,21.2,0.4,7.3,3.2,0.0,31.2,2.1,0.0,0.0,0.0,0.0,7.4,0.9,26.2,100
QAT,Qatar,2015,26.9,1.1,7.8,2.2,0.0,27.7,4.0,0.5,0.0,0.2,0.0,10.3,0.5,19.0,100
ROU,Romania,2015,24.0,0.0,4.2,0.7,0.0,24.2,28.0,0.9,0.0,0.1,0.0,7.1,1.3,9.5,100
RUS,Russian Federation,2015,24.1,0.8,7.4,3.3,0.0,29.1,7.0,0.8,0.0,1.0,0.0,8.0,1.4,17.1,100
RWA,Rwanda,2015,14.6,2.2,13.4,8.0,0.2,10.7,13.6,7.3,3.9,0.8,0.2,8.3,1.1,15.7,100
KNA,Saint Kitts & Nevis,2015,18.5,0.0,35.1,6.0,0.0,11.5,0.0,3.3,0.0,0.0,0.0,6.7,3.3,15.6,100
LCA,Saint Lucia,2015,32.7,0.0,12.1,9.9,0.0,15.7,5.6,0.0,0.0,0.0,0.0,4.2,1.1,18.7,100
WSM,Samoa,2015,24.1,1.1,7.7,5.7,0.0,24.0,9.7,3.1,0.0,0.0,0.0,7.0,1.3,16.4,100
SMR,San Marino,2015,3.7,0.0,4.5,0.0,0.0,33.6,3.6,0.3,0.0,0.0,0.0,17.1,1.6,35.7,100
STP,Sao Tome & Principe,2015,13.3,0.3,10.4,6.5,0.1,8.4,11.7,7.7,16.8,0.3,1.5,6.5,0.8,15.6,100
